Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,XLE_Open,XLE_High,XLE_Low,XLE_Close,XLE_Volume,XLF_Open,XLF_High,XLF_Low,XLF_Close,XLF_Volume,XLI_Open,XLI_High,XLI_Low,XLI_Close,XLI_Volume,XLU_Open,XLU_High,XLU_Low,XLU_Close,XLU_Volume,^VIX_Open,^VIX_High,^VIX_Low,^VIX_Close,^VIX_Volume
1999-11-24,87.97956637551074,89.03438355674467,87.51075873940678,88.74137878417969,4459700,6.767113945847851,6.860132694244385,6.751610821115095,6.860132694244385,47000,11.944462174519257,11.974548969616029,11.861722640296747,11.93694019317627,127778,17.49238729344987,17.609132926109158,17.49238729344987,17.579946517944336,3900,5.691201223674532,5.691201223674532,5.660220271875462,5.669514179229736,37600,20.700000762939453,20.850000381469727,20.100000381469727,20.260000228881836,0
1999-11-26,89.05388916629212,89.30782655588673,88.29207699750832,88.4092788696289,1693900,6.805866312543187,6.836872537201698,6.75935697555542,6.75935697555542,14800,12.019672316211953,12.019672316211953,11.854195594787598,11.854195594787598,90848,17.472924449950355,17.56048364819621,17.472924449950355,17.492382049560547,14800,5.7005005822245725,5.76246254507484,5.7005005822245725,5.734580039978027,5000,20.350000381469727,23.469999313354492,20.219999313354492,22.329999923706055,0
1999-11-29,88.05770393591499,88.71208128326484,87.78423280567922,88.09677124023438,7348600,6.724479434533096,6.7283547417965925,6.685721630720904,6.705100059509277,59000,11.68872275658172,11.703765587583973,11.568375587463379,11.568375587463379,956733,17.190785042301023,17.29780181392825,17.142141055197737,17.20051383972168,231100,5.681906559949365,5.688102750309178,5.6509256081502945,5.669514179229736,52200,24.270000457763672,24.290000915527344,23.110000610351562,23.56999969482422,0
1999-11-30,87.97956691688023,88.9562494981067,86.88568242590658,87.06148529052734,7682000,6.701222990456688,6.759359207772917,6.677968314283158,6.693471431732178,28600,11.568369523002573,11.914366887698833,11.568369523002573,11.763934135437012,141934,17.18105535290458,17.278343322060323,17.11295377449556,17.122682571411133,14100,5.719088522450791,5.812031456185094,5.712892326868504,5.7407755851745605,41400,23.809999465942383,24.209999084472656,22.860000610351562,24.18000030517578,0
1999-12-01,87.08100128683247,87.82327989807061,86.88566481019085,87.76467895507812,6980200,6.68184205808765,6.825246334075928,6.68184205808765,6.825246334075928,43400,11.643593688367902,11.824114450651116,11.643593688367902,11.67367935180664,634950,17.161592674900472,17.39508373170184,17.161592674900472,17.258880615234375,41800,5.7314786183718835,5.7841466379155095,5.7314786183718835,5.768655776977539,9600,23.40999984741211,23.40999984741211,22.229999542236328,22.229999542236328,0
1999-12-02,87.90144878151143,88.37025650834616,87.74517953923319,88.29212188720703,6698300,6.821369424872443,6.821369424872443,6.728350750896909,6.75935697555542,107600,11.786494752056038,11.824103491910865,11.613496131107553,11.72632122039795,122238,17.375623756882835,17.453454098459016,17.21996307373047,17.21996307373047,219000,5.76246254507484,5.777953413973215,5.734580039978027,5.734580039978027,35400,21.690000534057617,22.290000915527344,21.670000076293945,21.770000457763672,0
1999-12-03,89.40552379865893,90.85101402393767,89.40552379865893,89.91339874267578,10045400,6.759359737695087,6.825248465136585,6.7206019410339914,6.728353500366211,497000,12.04976370127866,12.230284446526841,12.004632949829103,12.004632949829102,1471414,17.463184815767807,17.648031897383177,17.463184815767807,17.502099990844727,24100,5.827522234307356,5.917366690692317,5.827522234307356,5.846110820770264,25800,19.739999771118164,19.81999969482422,18.690000534057617,19.31999969482422,0
1999-12-06,89.71804460912493,89.83524649626945,88.91716504697075,89.24923706054688,3138900,6.743856191929978,6.774862427295173,6.681843721199588,6.724477767944336,297200,11.944465166586808,11.944465166586808,11.628553173797709,11.681204795837402,283746,17.453462600708008,17.4631913981443,17.336717031472503,17.453462600708008,17300,5.877090426186858,5.877090426186858,5.790343709611195,5.80583381652832,19800,21.1200008392334,21.469999313354492,20.209999084472656,20.579999923706055,0
1999-12-07,89.56181887284066,89.58135253017389,88.37026577551389,88.52653503417969,10714200,6.681846737441389,6.712852986803066,6.596579551696777,6.596579551696777,252000,11.643587547308265,11.65863037109375,11.523240435926247,11.65863037109375,1270884,17.44373286962509,17.453461666540665,17.122682571411133,17.122682571411133,8000,5.793443541910689,5.88638648643332,5.793443541910689,5.849209308624268,219000,20.93000030517578,21.549999237060547,20.799999237060547,21.09000015258789,0
1999-12-08,88.35068729171057,88.79996118242677,87.8232788113046,87.96001434326172,4611400,6.534561518735664,6.666337966918945,6.488052184082742,6.666337966918945,135800,11.62854926769486,11.62854926769486,11.380332946777344,11.380332946777344,732322,17.21997348906806,17.482651050765707,17.21997348906806,17.424278259277344,210500,5.8182283021988885,5.8492092835737495,5.793443517098999,5.802738189697266,20000,21.209999084472656,21.329999923706055,20.6200008392334,21.25,0
1999-12-09,88.64370031873165,88.89763775904534,87.12007567684952,88.38976287841797,6474700,6.705096537954117,6.743854321410499,6.643084084423906,6.72059965133667,98200,11.508200025657644,11.568373599878274,11.365288069452367,11.545808792114258,143658,17.08376307003264,17.200508603540836,16.89891597531133,16.95728874206543,12700,5.833720911574069,5.861603424944438,5.787249047461,5.80893611907959,16600,20.799999237060547,22.309999465942383,20.719999313354492,21.190000534057617,0
1999-12-10,88.93667661692076,89.26874854806236,88.05766268154598,88.6827392578125,5127300,6.697345869558157,6.697345869558157,6.526811599731445,6.526811599731445,98000,11.718808854644346,11.816591206329184,11.621026502959506,11.748895645141602,739462,17.219975538656744,17.27834833709287,17.122687541263204,17.268619537353516,37100,5.808933998011676,5.8151301938728235,5.765560626983643,5.765560626983643,16000,21.610000610351562,22.149999618530273,21.030000686645508,21.479999542236328,0
1999-12-13,88.40930235165719,89.2101820238662,88.31163409894879,88.83904266357422,4210800,6.526813982228321,6.635335829913827,6.495807740032462,6.5655717849731445,89800,11.598455688819689,11.688716013589021,11.545804115272851,11.613499641418457,367577,17.258896557890733,17.44374381527513,17.258896557890733,17.36591339111328,22600,5.750069747432585,5.781050726675218,5.712892572341427,5.762462139129639,27800,21.959999084472656,22.479999542236328,21.56999969482422,21.719999313354492,0
